nnn,canonical_name,local_filename,new_version,new_filename,git_first_commit,test_version,test_name,prod_seq_version,prod_seq_name,prod_ts_version,prod_ts_name,classification
001,initial_schema,001_initial_schema.sql,20260405061911,20260405061911_initial_schema.sql,2026-04-05T08:19:11+02:00,20260430100450,001_initial_schema,001,initial_schema,,,clean
002,rls_policies,002_rls_policies.sql,20260405061912,20260405061912_rls_policies.sql,2026-04-05T08:19:11+02:00,20260430100510,002_rls_policies,002,rls_policies,,,clean
003,indexes_and_benchmark,003_indexes_and_benchmark.sql,20260405093623,20260405093623_indexes_and_benchmark.sql,2026-04-05T11:36:23+02:00,20260430100522,003_indexes_and_benchmark,003,indexes_and_benchmark,,,clean
004,kek_version,004_kek_version.sql,20260405093827,20260405093827_kek_version.sql,2026-04-05T11:38:27+02:00,20260430100536,004_kek_version,004,kek_version,,,clean
005,decks,005_decks.sql,20260405170339,20260405170339_decks.sql,2026-04-05T19:03:39+02:00,20260430100543,005_decks,005,decks,,,clean
006,organizations,006_organizations.sql,20260405180928,20260405180928_organizations.sql,2026-04-05T20:09:28+02:00,20260430100602,006_organizations,006,organizations,,,clean
007,security_hardening,007_security_hardening.sql,20260406065011,20260406065011_security_hardening.sql,2026-04-06T08:50:11+02:00,20260430100622,007_security_hardening,007,security_hardening,,,clean
008,matching_automation,008_matching_automation.sql,20260406071921,20260406071921_matching_automation.sql,2026-04-06T09:19:21+02:00,20260430100637,008_matching_automation,008,matching_automation,,,clean
009,allocations_hub,009_allocations_hub.sql,20260406130805,20260406130805_allocations_hub.sql,2026-04-06T15:08:05+02:00,20260430100649,009_allocations_hub,009,allocations_hub,,,clean
010,portfolio_intelligence,010_portfolio_intelligence.sql,20260407075303,20260407075303_portfolio_intelligence.sql,2026-04-07T09:53:03+02:00,20260430100737,010_portfolio_intelligence,010,portfolio_intelligence,,,clean
011,perfect_match,011_perfect_match.sql,20260407164606,20260407164606_perfect_match.sql,2026-04-07T18:46:06+02:00,20260430100825,011_perfect_match,011,perfect_match,,,clean
012,disclosure_and_tenancy,012_disclosure_and_tenancy.sql,20260408113028,20260408113028_disclosure_and_tenancy.sql,2026-04-08T13:30:28+02:00,20260430100900,012_disclosure_and_tenancy,012,disclosure_and_tenancy,,,clean
013,cron_heartbeat,013_cron_heartbeat.sql,20260408113029,20260408113029_cron_heartbeat.sql,2026-04-08T13:30:28+02:00,20260430100923,013_cron_heartbeat,013,cron_heartbeat,,,clean
014,strategy_codename,014_strategy_codename.sql,20260408155411,20260408155411_strategy_codename.sql,2026-04-08T17:54:11+02:00,20260430100939,014_strategy_codename,014,strategy_codename,,,clean
015,schedule_match_cron_hourly,015_schedule_match_cron_hourly.sql,20260408215026,20260408215026_schedule_match_cron_hourly.sql,2026-04-08T23:50:26+02:00,20260430100951,015_schedule_match_cron_hourly,015,schedule_match_cron_hourly,,,clean
016,partner_tag,016_partner_tag.sql,20260408220622,20260408220622_partner_tag.sql,2026-04-09T00:06:22+02:00,20260430101001,016_partner_tag,016,partner_tag,,,clean
017,profile_pii_revoke,017_profile_pii_revoke.sql,20260408233236,20260408233236_profile_pii_revoke.sql,2026-04-09T01:32:36+02:00,20260430101012,017_profile_pii_revoke,017,profile_pii_revoke,,,clean
018,notification_dispatches,018_notification_dispatches.sql,20260409002118,20260409002118_notification_dispatches.sql,2026-04-09T02:21:18+02:00,20260430101024,018_notification_dispatches,018,notification_dispatches,,,clean
019,recommendations_rpc,019_recommendations_rpc.sql,20260409003234,20260409003234_recommendations_rpc.sql,2026-04-09T02:32:34+02:00,20260430101044,019_recommendations_rpc,019,recommendations_rpc,,,clean
